guest_id,customer_key,loyalty_tier,preferred_room_type,special_requests,created_at,updated_at
CUS0001472,1595,BLUE,DLX,,2022-01-30 01:57:31,2022-12-03 13:58:33
CUS0001473,1596,GOLD,SUP,,2022-06-26 16:00:00,2023-06-01 22:46:57
CUS0001474,1597,BLUE,EXE,,2023-03-14 13:14:51,2025-12-14 09:24:49
CUS0001475,1598,BLUE,SUT,,2022-01-19 20:19:49,2022-12-18 16:49:01
CUS0001476,1599,BLUE,STD,,2021-11-13 22:29:44,2021-11-13 22:29:44
CUS0001477,1600,BLUE,DLX,Non-smoking,2022-06-30 15:47:21,2024-09-06 12:48:45
CUS0001478,1601,BLUE,STD,,2021-07-24 09:23:03,2021-07-24 09:23:03
CUS0001479,1603,PLATINUM,EXE,,2021-12-17 02:00:17,2023-05-16 11:14:12
CUS0001480,1604,SILVER,STD,High floor,2022-12-14 22:55:57,2022-12-14 22:55:57
CUS0001481,1605,BLUE,STD,Non-smoking,2023-02-07 11:20:23,2025-05-03 19:25:58
CUS0001482,1606,BLUE,DLX,,2022-01-22 16:30:56,2022-01-22 16:30:56
CUS0001483,1607,PLATINUM,DLX,,2023-05-23 03:10:57,2023-05-23 03:10:57
CUS0001484,1608,SILVER,SUP,Non-smoking,2022-08-23 20:47:31,2025-04-25 08:25:25
CUS0001485,1609,BLUE,EXE,,2023-02-05 22:56:19,2023-02-05 22:56:19
CUS0001486,1610,BLUE,SUT,High floor,2021-07-03 01:37:40,2021-07-03 01:37:40
CUS0001487,1611,BLUE,EXE,King bed,2023-02-01 21:52:24,2023-10-10 12:18:44
CUS0001488,1612,SILVER,SUT,,2021-09-18 22:46:25,2021-09-18 22:46:25
CUS0001489,1613,BLUE,EXE,King bed,2021-11-10 16:42:37,2022-04-01 01:04:47
CUS0001490,1614,BLUE,SUP,,2021-11-09 14:14:05,2021-11-09 14:14:05
CUS0001491,1616,BLUE,DLX,,2024-05-24 00:00:14,2024-05-24 00:00:14
CUS0001492,1617,BLUE,SUT,Near elevator,2023-02-10 17:39:28,2023-05-10 21:28:37
CUS0001493,1618,BLUE,SUT,,2021-12-27 11:02:46,2024-08-27 23:47:21
CUS0001494,1619,SILVER,STD,,2022-09-26 13:14:21,2026-01-08 14:58:55
CUS0001495,1620,SILVER,SUP,,2021-12-30 22:03:33,2024-08-05 18:35:57
CUS0001496,1621,SILVER,SUT,High floor,2022-04-28 04:51:38,2024-11-11 09:13:42
CUS0001497,1622,BLUE,DLX,Near elevator,2021-05-27 20:04:23,2022-01-06 17:55:49
CUS0001498,1623,BLUE,SUP,High floor,2022-07-06 22:08:37,2026-01-17 02:13:39
CUS0001499,1624,SILVER,SUP,Non-smoking,2023-01-04 12:49:32,2023-11-01 13:26:09
CUS0001500,1625,BLUE,STD,,2021-06-08 08:19:42,2021-06-08 08:19:42
CUS0001501,1626,SILVER,SUP,High floor,2023-05-16 10:08:06,2023-05-16 10:08:06
CUS0001502,1627,PLATINUM,SUP,High floor,2023-04-16 21:56:25,2023-04-16 21:56:25
CUS0001503,1628,BLUE,EXE,High floor,2022-10-07 05:06:33,2025-03-20 06:07:13
CUS0001504,1629,BLUE,SUT,,2022-08-16 06:43:27,2025-04-29 11:27:25
CUS0001505,1630,GOLD,SUT,High floor,2021-12-20 15:43:01,2025-02-17 16:50:55
CUS0001506,1631,SILVER,DLX,,2021-05-27 23:33:09,2023-06-13 23:17:29
CUS0001507,1632,SILVER,SUP,Non-smoking,2022-01-27 06:51:34,2024-11-23 08:05:05
CUS0001508,1633,BLUE,SUT,King bed,2022-11-24 07:07:08,2022-11-24 07:07:08
CUS0001509,1634,BLUE,SUP,Near elevator,2021-07-16 02:58:10,2022-01-02 15:36:43
CUS0001510,1635,SILVER,STD,High floor,2021-08-05 18:44:56,2023-09-21 11:34:32
CUS0001511,1636,BLUE,SUT,Non-smoking,2022-07-13 21:32:17,2022-08-29 04:48:44
CUS0001512,1637,SILVER,EXE,Near elevator,2022-04-19 02:19:41,2024-05-18 09:47:55
CUS0001513,1638,SILVER,EXE,,2022-12-22 05:37:33,2024-02-09 16:13:02
CUS0001514,1639,SILVER,STD,,2022-12-31 14:27:16,2022-12-31 14:27:16
CUS0001515,1640,SILVER,STD,Near elevator,2023-03-21 00:29:26,2023-03-21 00:29:26
CUS0001516,1641,BLUE,DLX,High floor,2023-03-02 11:40:53,2023-03-02 11:40:53
CUS0001517,1642,SILVER,DLX,High floor,2022-01-19 15:01:33,2022-01-22 22:53:11
CUS0001518,1643,BLUE,STD,,2021-08-07 00:38:02,2022-07-11 18:34:49
CUS0001519,1644,BLUE,EXE,Near elevator,2022-10-12 22:09:20,2025-02-26 10:10:53
CUS0001520,1645,BLUE,DLX,,2021-05-28 06:07:41,2021-05-28 06:07:41
CUS0001521,1646,BLUE,SUT,Non-smoking,2023-02-12 11:36:08,2023-07-06 06:40:24
CUS0001522,1647,BLUE,SUP,Non-smoking,2021-10-26 20:52:54,2025-10-28 11:59:46
CUS0001523,1648,BLUE,SUP,,2021-05-31 14:13:00,2021-05-31 14:13:00
CUS0001524,1649,BLUE,DLX,,2022-05-08 12:08:32,2026-05-19 19:59:30
CUS0001525,1650,SILVER,SUT,King bed,2021-08-18 00:09:37,2021-08-18 00:09:37
CUS0001526,1651,BLUE,SUT,,2022-12-14 08:16:18,2025-05-09 20:32:43
CUS0001527,1652,BLUE,SUT,,2021-11-17 12:35:34,2025-05-07 09:15:16
CUS0001528,1653,BLUE,DLX,High floor,2023-01-13 05:17:45,2024-03-19 11:59:45
CUS0001529,1654,SILVER,EXE,Near elevator,2023-04-26 19:58:50,2023-04-26 19:58:50
CUS0001530,1655,BLUE,SUP,King bed,2021-07-03 13:27:02,2024-08-23 10:32:13
CUS0001531,1656,BLUE,SUP,Non-smoking,2021-06-08 19:15:03,2025-12-01 22:11:42
CUS0001532,1657,BLUE,SUT,King bed,2022-09-08 18:06:07,2022-09-08 18:06:07
CUS0001533,1658,SILVER,SUT,,2022-11-16 18:06:18,2022-11-16 18:06:18
CUS0001534,1659,GOLD,EXE,,2021-05-29 20:40:36,2026-04-12 03:49:01
CUS0001535,1660,BLUE,SUT,Non-smoking,2021-09-12 04:44:57,2025-10-20 07:15:02
CUS0001536,1661,GOLD,STD,Non-smoking,2023-03-26 11:39:01,2025-05-20 12:18:14
CUS0001537,1662,BLUE,EXE,High floor,2023-04-02 14:18:05,2025-02-17 14:51:53
CUS0001538,1663,BLUE,STD,,2023-02-24 06:23:43,2025-11-12 12:53:04
CUS0001539,1664,PLATINUM,SUP,Near elevator,2023-04-30 22:54:43,2023-04-30 22:54:43
CUS0001540,1666,BLUE,EXE,,2023-05-22 10:30:02,2024-01-17 01:12:50
CUS0001541,1667,BLUE,SUP,,2021-06-22 07:59:38,2023-11-14 15:20:23
CUS0001542,1668,BLUE,EXE,,2022-06-14 08:35:09,2022-06-14 08:35:09
CUS0001543,1669,GOLD,SUT,,2021-07-04 08:00:16,2021-07-04 08:00:16
CUS0001544,1670,SILVER,STD,,2022-05-15 17:13:36,2024-04-23 22:35:13
CUS0001545,1671,SILVER,STD,,2022-06-04 07:18:30,2023-11-03 11:52:19
CUS0001546,1672,BLUE,EXE,,2023-05-14 13:33:08,2026-03-07 07:15:39
CUS0001547,1673,BLUE,DLX,Near elevator,2023-03-11 20:09:18,2026-02-24 10:06:16
CUS0001548,1674,BLUE,SUP,,2022-04-11 18:34:39,2025-02-08 06:20:15
CUS0001549,1675,SILVER,DLX,Near elevator,2023-03-08 03:25:04,2024-07-15 16:07:21
CUS0001550,1676,BLUE,SUT,,2022-06-06 21:06:54,2023-06-16 18:05:24
CUS0001551,1677,BLUE,SUT,King bed,2023-01-26 17:33:37,2025-09-03 23:28:26
CUS0001552,1678,SILVER,SUP,,2021-10-11 01:03:18,2021-10-11 01:03:18
CUS0001553,1679,BLUE,SUT,King bed,2021-10-21 00:35:41,2022-05-25 16:59:15
CUS0001554,1680,SILVER,DLX,,2022-04-04 06:16:36,2025-05-26 04:47:52
CUS0001555,1681,BLUE,SUP,High floor,2021-12-14 18:30:23,2021-12-14 18:30:23
CUS0001556,1682,BLUE,EXE,,2021-11-19 12:48:21,2025-10-16 04:44:47
CUS0001557,1683,GOLD,SUT,High floor,2021-11-17 10:39:39,2021-11-17 10:39:39
CUS0001558,1684,SILVER,SUP,,2022-02-23 03:40:00,2023-09-24 23:54:16
CUS0001559,1685,BLUE,SUP,,2023-04-01 01:38:06,2023-08-21 07:35:02
CUS0001560,1686,SILVER,SUT,,2023-03-28 05:01:00,2025-06-11 16:16:46
CUS0001561,1688,PLATINUM,SUP,,2023-10-12 15:12:33,2026-01-13 16:45:54
CUS0001562,1689,BLUE,DLX,,2022-03-06 07:40:59,2026-04-28 23:17:24
CUS0001563,1690,BLUE,SUP,High floor,2021-11-23 06:49:54,2024-07-06 15:53:36
CUS0001564,1691,BLUE,STD,Non-smoking,2022-04-03 09:38:12,2022-04-03 09:38:12
CUS0001565,1692,SILVER,STD,,2021-10-04 01:35:47,2025-11-01 17:50:58
CUS0001566,1693,BLUE,SUT,,2022-06-19 05:46:41,2024-01-10 13:09:47
CUS0001567,1694,BLUE,STD,Non-smoking,2022-08-14 11:07:04,2022-08-14 11:07:04
CUS0001568,1695,SILVER,SUT,High floor,2022-03-12 14:27:46,2023-05-14 15:02:15
CUS0001569,1696,BLUE,EXE,Non-smoking,2023-04-21 23:36:52,2023-04-21 23:36:52
CUS0001570,1697,GOLD,STD,Non-smoking,2021-12-27 14:51:41,2024-04-17 17:51:19
CUS0001571,1698,SILVER,SUT,Near elevator,2021-08-13 15:53:59,2023-07-18 19:37:59
CUS0001572,1699,GOLD,SUT,,2021-09-06 09:47:36,2022-11-14 07:53:23
CUS0001573,1700,BLUE,SUP,King bed,2022-12-20 05:48:22,2025-11-24 12:58:56
CUS0001574,1701,PLATINUM,STD,,2022-08-03 18:24:56,2023-06-23 05:46:52
CUS0001575,1702,GOLD,SUP,,2022-10-06 16:24:50,2022-10-06 16:24:50
CUS0001576,1703,BLUE,SUT,King bed,2022-12-28 12:45:35,2025-04-08 22:05:13
CUS0001577,1704,SILVER,SUP,High floor,2022-07-31 05:24:17,2024-04-02 04:09:11
CUS0001578,1705,BLUE,SUP,,2022-04-12 21:32:55,2023-01-01 13:17:41
CUS0001579,1706,BLUE,SUT,,2021-10-12 23:46:12,2024-04-09 06:30:05
CUS0001580,1707,SILVER,SUP,Near elevator,2023-05-09 11:58:37,2025-10-14 23:11:05
CUS0001581,1708,BLUE,EXE,King bed,2022-09-20 11:08:47,2024-12-31 02:39:10
CUS0001582,1709,BLUE,EXE,,2021-08-09 11:58:19,2025-01-31 19:51:29
CUS0001583,1710,SILVER,SUP,Near elevator,2022-01-06 22:51:44,2022-01-06 22:51:44
CUS0001584,1711,BLUE,DLX,High floor,2021-06-13 21:16:55,2025-03-05 16:58:06
CUS0001585,1712,BLUE,STD,Near elevator,2021-08-30 22:29:25,2022-02-26 00:42:37
CUS0001586,1713,SILVER,SUT,High floor,2021-08-27 19:58:16,2021-08-27 19:58:16
CUS0001587,1714,BLUE,STD,Near elevator,2022-01-12 14:29:19,2025-06-28 02:46:35
CUS0001588,1715,SILVER,STD,Non-smoking,2023-03-08 07:47:16,2023-03-08 07:47:16
CUS0001589,1716,BLUE,SUP,King bed,2023-01-19 17:41:07,2025-02-06 15:46:13
CUS0001590,1717,BLUE,STD,,2023-01-11 02:39:15,2023-05-13 00:50:25
CUS0001591,1718,BLUE,DLX,King bed,2021-10-10 17:29:28,2022-02-24 22:42:48
CUS0001592,1719,BLUE,SUP,,2021-10-10 02:02:00,2024-12-31 16:17:40
CUS0001593,1720,BLUE,DLX,,2022-11-03 08:08:07,2024-11-22 16:10:34
CUS0001594,1721,GOLD,STD,Non-smoking,2022-05-22 23:23:44,2023-06-18 14:20:26
CUS0001595,1722,BLUE,DLX,,2022-08-05 09:06:35,2025-10-15 02:54:46
CUS0001596,1723,GOLD,DLX,Non-smoking,2022-05-31 18:05:40,2022-08-04 08:38:55
CUS0001597,1724,BLUE,STD,,2022-03-07 18:43:51,2024-03-21 21:08:22
CUS0001598,1725,BLUE,STD,Near elevator,2021-06-19 09:58:33,2026-03-07 12:35:44
CUS0001599,1726,SILVER,SUP,,2023-05-07 01:55:24,2023-05-07 01:55:24
CUS0001600,1727,BLUE,DLX,Near elevator,2023-02-19 21:45:52,2024-07-29 10:14:21
CUS0001601,1728,BLUE,EXE,Non-smoking,2022-12-30 13:55:07,2025-03-16 09:19:06
CUS0001602,1729,BLUE,DLX,,2023-01-17 05:14:27,2025-01-14 16:18:09
CUS0001603,1730,BLUE,SUP,High floor,2022-08-21 05:22:21,2024-05-27 18:18:06
CUS0001604,1731,SILVER,SUT,High floor,2022-08-08 12:40:33,2024-10-19 21:50:31
CUS0001605,1732,SILVER,SUP,,2021-12-20 12:28:52,2023-04-21 06:44:08
CUS0001606,1733,PLATINUM,SUT,Non-smoking,2022-01-05 01:23:20,2022-05-23 02:02:34
CUS0001607,1734,BLUE,EXE,,2021-06-01 13:51:16,2022-10-24 19:00:06
CUS0001608,1736,BLUE,EXE,Non-smoking,2024-04-22 20:48:39,2026-01-09 15:32:25
CUS0001609,1737,SILVER,SUP,Non-smoking,2023-05-27 23:17:28,2023-10-12 00:17:12
CUS0001610,1738,BLUE,SUP,High floor,2021-06-21 21:01:07,2022-10-06 14:45:16
CUS0001611,1739,SILVER,EXE,Non-smoking,2022-10-17 23:39:45,2022-10-17 23:39:45
CUS0001612,1740,BLUE,STD,High floor,2022-10-13 17:32:45,2022-10-13 17:32:45
CUS0001613,1741,BLUE,STD,High floor,2023-02-09 16:04:05,2023-10-16 00:54:24
CUS0001614,1742,BLUE,SUP,Near elevator,2021-10-29 07:09:25,2025-04-22 02:32:27
CUS0001615,1743,BLUE,SUP,Near elevator,2021-06-05 12:02:41,2025-08-17 10:10:51
CUS0001616,1744,BLUE,SUP,Non-smoking,2023-06-01 01:20:58,2026-04-21 05:42:34
CUS0001617,1745,BLUE,SUP,Near elevator,2021-05-31 09:24:34,2024-07-22 04:11:43
CUS0001618,1746,BLUE,STD,,2023-01-02 05:39:28,2025-02-19 20:41:38
CUS0001619,1748,BLUE,EXE,High floor,2023-09-14 00:41:04,2023-09-14 00:41:04
CUS0001620,1749,BLUE,DLX,,2022-08-23 04:49:32,2023-11-08 16:56:11
CUS0001621,1750,BLUE,DLX,Near elevator,2022-04-12 05:29:08,2022-06-14 18:00:09
CUS0001622,1751,BLUE,DLX,Near elevator,2022-09-02 02:59:46,2025-03-27 02:48:06
CUS0001623,1752,BLUE,SUT,Near elevator,2022-05-24 09:51:34,2022-09-17 22:37:55
CUS0001624,1753,SILVER,SUP,,2023-04-06 19:36:46,2023-06-18 03:29:26
CUS0001625,1754,BLUE,STD,,2022-04-08 00:00:29,2022-04-08 00:00:29
CUS0001626,1755,BLUE,STD,,2022-12-21 10:32:43,2022-12-21 10:32:43
CUS0001627,1756,BLUE,SUT,Near elevator,2022-09-15 23:44:19,2024-01-07 04:09:05
CUS0001628,1757,BLUE,EXE,Non-smoking,2021-10-17 22:58:00,2021-10-17 22:58:00
CUS0001629,1758,BLUE,SUT,Non-smoking,2023-05-10 20:40:34,2023-07-12 04:01:23
CUS0001630,1759,BLUE,SUT,Non-smoking,2022-10-01 05:53:55,2022-12-12 09:44:41
CUS0001631,1760,BLUE,SUT,High floor,2023-02-08 20:02:47,2023-02-08 20:02:47
CUS0001632,1761,PLATINUM,EXE,High floor,2022-06-18 10:02:39,2024-02-14 04:23:52
CUS0001633,1762,BLUE,EXE,Non-smoking,2022-11-20 11:23:36,2025-05-15 13:22:32
CUS0001634,1763,SILVER,SUP,,2022-01-18 23:22:11,2022-01-18 23:22:11
CUS0001635,1764,PLATINUM,SUP,High floor,2022-05-11 20:58:33,2024-08-17 00:54:01
CUS0001636,1765,BLUE,EXE,,2022-09-28 02:28:26,2023-11-16 01:21:03
CUS0001637,1766,BLUE,DLX,,2022-02-27 12:38:37,2022-06-18 21:17:29
CUS0001638,1767,GOLD,SUP,Near elevator,2022-02-05 11:46:50,2025-11-22 10:21:37
CUS0001639,1768,BLUE,SUT,King bed,2022-01-08 20:12:50,2022-01-08 20:12:50
CUS0001640,1769,BLUE,DLX,Near elevator,2023-05-16 12:37:18,2023-05-16 12:37:18
CUS0001641,1770,BLUE,DLX,,2022-03-15 18:04:35,2022-08-04 04:14:17
CUS0001642,1771,BLUE,STD,High floor,2022-11-26 14:29:11,2026-05-10 06:41:06
CUS0001643,1772,BLUE,SUT,King bed,2023-05-27 23:49:39,2025-11-24 22:55:19
CUS0001644,1773,BLUE,DLX,High floor,2022-06-06 11:51:14,2023-03-02 12:58:11
CUS0001645,1774,BLUE,SUP,,2022-11-05 18:59:24,2023-08-09 05:35:37
CUS0001646,1775,SILVER,DLX,Non-smoking,2021-10-20 10:58:24,2023-12-25 07:01:51
CUS0001647,1776,SILVER,DLX,High floor,2022-11-10 22:10:59,2024-10-13 04:01:47
CUS0001648,1777,GOLD,SUT,,2022-01-08 06:17:44,2022-01-08 06:17:44
CUS0001649,1778,SILVER,SUT,Near elevator,2021-10-14 07:02:44,2021-12-24 16:06:51
CUS0001650,1779,BLUE,EXE,King bed,2022-03-14 05:52:45,2025-05-13 09:51:11
CUS0001651,1780,BLUE,SUT,High floor,2022-04-02 04:05:14,2026-04-21 05:27:18
CUS0001652,1781,BLUE,EXE,Non-smoking,2021-06-06 06:54:48,2025-11-27 06:51:09
CUS0001653,1783,BLUE,SUP,Non-smoking,2023-01-02 05:56:15,2025-06-29 21:22:22
CUS0001654,1784,BLUE,DLX,King bed,2022-10-02 16:36:18,2022-11-07 08:21:39
CUS0001655,1785,SILVER,SUP,,2021-06-10 14:12:57,2024-06-20 19:28:50
CUS0001656,1787,BLUE,STD,Near elevator,2024-01-02 10:00:35,2025-11-20 17:19:43
CUS0001657,1789,GOLD,DLX,,2023-09-28 03:10:13,2023-09-28 03:10:13
CUS0001658,1790,BLUE,EXE,,2021-07-13 01:50:37,2024-10-23 18:09:02
CUS0001659,1791,BLUE,SUP,King bed,2022-08-15 16:24:34,2024-01-03 15:53:32
CUS0001660,1792,SILVER,DLX,,2022-08-15 04:20:50,2025-12-27 01:07:08
CUS0001661,1793,BLUE,EXE,Near elevator,2022-03-30 14:30:50,2022-10-12 11:31:41
CUS0001662,1794,SILVER,STD,Near elevator,2021-07-07 02:05:59,2023-07-15 19:42:42
CUS0001663,1795,BLUE,DLX,,2021-10-02 10:56:12,2024-06-15 05:15:09
CUS0001664,1796,BLUE,EXE,King bed,2021-12-14 02:10:30,2025-01-07 21:48:33
CUS0001665,1797,BLUE,STD,Near elevator,2022-05-06 17:49:26,2022-05-06 17:49:26
CUS0001666,1798,GOLD,SUP,Near elevator,2021-12-08 11:46:34,2021-12-08 11:46:34
CUS0001667,1799,BLUE,STD,,2022-09-04 07:32:28,2022-09-12 12:37:19
CUS0001668,1801,SILVER,SUP,Near elevator,2023-11-22 09:15:05,2024-02-03 15:33:35
CUS0001669,1802,BLUE,EXE,,2021-11-04 07:36:36,2022-08-11 12:14:12
CUS0001670,1803,BLUE,DLX,King bed,2021-07-10 09:17:19,2021-10-30 13:10:05
CUS0001671,1804,BLUE,SUP,King bed,2022-12-15 06:08:59,2022-12-15 06:08:59
CUS0001672,1806,BLUE,EXE,King bed,2024-04-23 07:23:38,2024-05-19 01:22:54
CUS0001673,1807,BLUE,STD,,2022-11-21 20:49:55,2022-11-30 08:11:41
CUS0001674,1809,BLUE,EXE,King bed,2024-12-20 18:38:52,2024-12-20 18:38:52
CUS0001675,1810,BLUE,EXE,,2022-10-23 12:30:43,2023-05-17 21:27:13
CUS0001676,1811,BLUE,SUP,,2023-05-03 14:06:28,2026-04-02 21:35:30
CUS0001677,1812,BLUE,EXE,King bed,2021-07-21 22:02:46,2023-12-31 12:36:40
CUS0001678,1813,BLUE,DLX,High floor,2022-03-26 17:03:18,2022-03-26 17:03:18
CUS0001679,1814,BLUE,SUP,King bed,2023-04-04 16:28:59,2023-07-22 06:17:28
CUS0001680,1815,SILVER,EXE,Near elevator,2023-03-29 13:47:02,2025-03-07 08:48:52
CUS0001681,1816,BLUE,EXE,Near elevator,2021-06-05 23:11:01,2025-06-06 14:46:04
CUS0001682,1817,BLUE,EXE,,2023-01-06 17:57:45,2025-10-07 20:03:13
CUS0001683,1818,SILVER,DLX,King bed,2022-05-13 20:47:50,2022-05-13 20:47:50
CUS0001684,1819,BLUE,SUT,,2021-08-21 03:44:26,2021-09-21 15:20:15
CUS0001685,1820,BLUE,STD,Near elevator,2022-07-13 19:02:35,2022-07-13 19:02:35
CUS0001686,1822,BLUE,DLX,King bed,2023-01-21 02:22:40,2023-06-15 08:33:54
CUS0001687,1823,BLUE,SUP,,2022-10-09 10:01:42,2022-10-09 10:01:42
CUS0001688,1824,SILVER,DLX,High floor,2022-03-10 20:52:15,2022-05-27 21:11:06
CUS0001689,1825,BLUE,EXE,High floor,2022-02-01 06:36:29,2023-06-20 11:36:01
CUS0001690,1826,SILVER,STD,,2021-12-09 15:05:57,2025-08-01 19:34:04
CUS0001691,1827,BLUE,EXE,Non-smoking,2023-03-14 11:14:55,2025-03-03 09:13:00
CUS0001692,1828,BLUE,DLX,King bed,2022-03-07 05:13:08,2022-03-07 05:13:08
CUS0001693,1829,BLUE,SUP,High floor,2023-01-05 17:29:14,2025-07-20 13:11:18
CUS0001694,1830,BLUE,SUT,,2021-10-10 11:44:13,2025-03-21 12:20:40
CUS0001695,1831,GOLD,EXE,High floor,2021-08-14 05:28:57,2021-08-14 05:28:57
CUS0001696,1832,GOLD,EXE,,2021-09-19 21:24:20,2021-09-19 21:24:20
CUS0001697,1833,SILVER,SUP,Near elevator,2021-11-24 01:29:29,2022-01-29 10:56:47
CUS0001698,1834,BLUE,SUT,Near elevator,2022-11-04 22:45:52,2022-11-04 22:45:52
CUS0001699,1835,SILVER,DLX,Non-smoking,2022-08-20 10:23:38,2025-01-11 05:54:56
CUS0001700,1836,BLUE,SUT,,2022-09-25 10:18:53,2024-04-09 12:43:28
CUS0001701,1837,BLUE,EXE,,2022-08-22 07:10:44,2023-05-09 12:40:30
CUS0001702,1839,SILVER,DLX,,2023-07-31 09:16:43,2025-01-07 02:26:34
CUS0001703,1840,SILVER,STD,,2022-07-13 07:15:49,2023-08-21 11:54:32
CUS0001704,1841,BLUE,DLX,,2021-07-08 03:53:44,2025-12-20 21:05:21
CUS0001705,1842,GOLD,DLX,,2022-10-24 02:32:21,2025-05-16 22:00:57
CUS0001706,1844,BLUE,EXE,,2024-09-27 13:36:57,2025-09-03 05:08:13
CUS0001707,1845,SILVER,STD,King bed,2021-09-08 20:41:57,2021-09-08 20:41:57
CUS0001708,1846,BLUE,SUP,High floor,2021-11-11 01:01:08,2021-11-21 19:13:25
CUS0001709,1847,BLUE,STD,,2021-08-29 04:55:03,2026-01-18 18:29:10
CUS0001710,1848,BLUE,STD,High floor,2021-07-08 11:22:44,2023-07-29 19:14:48
CUS0001711,1849,GOLD,STD,,2021-06-17 00:55:43,2025-05-24 21:14:27
CUS0001712,1850,BLUE,SUT,King bed,2023-01-06 17:05:19,2024-03-05 04:12:48
CUS0001713,1851,SILVER,SUP,,2022-06-29 08:04:22,2023-06-15 11:15:10
CUS0001714,1852,BLUE,EXE,High floor,2021-10-10 13:54:45,2024-08-23 06:14:43
CUS0001715,1853,BLUE,STD,High floor,2022-05-24 20:06:41,2024-08-16 12:57:07
CUS0001716,1855,GOLD,SUP,,2024-03-01 18:08:01,2026-03-04 15:44:00
CUS0001717,1856,BLUE,EXE,,2022-11-24 15:03:49,2025-01-14 18:39:12
CUS0001718,1857,BLUE,SUP,Non-smoking,2022-10-31 06:06:50,2024-08-05 04:34:15
CUS0001719,1858,BLUE,SUP,Non-smoking,2023-04-22 10:07:12,2023-04-22 10:07:12
CUS0001720,1860,BLUE,STD,,2022-11-01 06:15:25,2025-01-03 16:59:35
CUS0001721,1861,SILVER,DLX,Near elevator,2021-07-28 23:25:52,2025-06-07 09:01:10
CUS0001722,1862,GOLD,DLX,Non-smoking,2022-05-16 04:01:58,2025-12-07 12:34:10
CUS0001723,1863,BLUE,DLX,,2021-11-14 02:18:25,2026-01-20 19:51:42
CUS0001724,1864,BLUE,SUP,Near elevator,2023-03-17 23:23:36,2025-09-20 15:50:42
CUS0001725,1865,BLUE,STD,High floor,2023-01-22 02:27:52,2025-02-07 18:19:27
CUS0001726,1866,SILVER,SUP,King bed,2022-05-29 05:35:02,2023-04-28 23:41:33
CUS0001727,1867,SILVER,DLX,Non-smoking,2021-08-10 18:19:20,2023-08-20 16:53:47
CUS0001728,1868,BLUE,SUP,Non-smoking,2021-06-07 19:17:34,2021-06-07 19:17:34
CUS0001729,1869,BLUE,DLX,,2021-07-11 04:06:46,2023-11-15 01:57:04
CUS0001730,1870,BLUE,SUT,High floor,2022-04-30 11:27:23,2023-11-21 14:48:34
CUS0001731,1871,SILVER,DLX,High floor,2022-09-29 16:18:37,2024-10-05 23:33:43
CUS0001732,1872,SILVER,EXE,,2023-05-17 05:09:33,2023-05-17 05:09:33
CUS0001733,1874,BLUE,STD,Non-smoking,2024-03-02 17:58:09,2024-10-05 14:20:18
CUS0001734,1875,BLUE,DLX,,2022-04-20 21:14:01,2023-07-25 19:04:39
CUS0001735,1877,BLUE,DLX,,2023-10-06 07:11:13,2026-04-22 09:18:11
CUS0001736,1878,BLUE,SUP,,2021-09-26 14:46:35,2025-08-03 21:45:46
CUS0001737,1879,SILVER,STD,High floor,2022-09-15 22:15:11,2022-12-04 19:56:14
CUS0001738,1880,BLUE,DLX,Near elevator,2022-04-30 18:53:09,2022-04-30 18:53:09
CUS0001739,1881,SILVER,SUT,,2022-04-09 10:48:20,2026-05-02 03:50:12
CUS0001740,1882,BLUE,STD,King bed,2023-02-03 20:26:50,2023-02-03 20:26:50
CUS0001741,1883,GOLD,SUT,Non-smoking,2022-11-19 06:00:11,2026-02-05 07:29:35
CUS0001742,1884,GOLD,EXE,,2021-09-07 05:28:41,2023-04-27 22:24:21
CUS0001743,1885,BLUE,SUT,,2022-02-16 20:32:21,2022-02-24 07:21:59
CUS0001744,1886,BLUE,STD,,2022-02-12 06:07:18,2024-08-15 10:21:29
CUS0001745,1887,GOLD,SUT,Near elevator,2022-09-22 11:41:07,2022-09-22 11:41:07
CUS0001746,1888,BLUE,EXE,,2022-10-19 09:11:55,2023-05-22 23:51:45
CUS0001747,1889,BLUE,SUP,,2021-12-25 12:03:47,2024-08-16 23:54:31
CUS0001748,1890,SILVER,SUT,,2022-01-05 20:26:54,2023-02-13 02:34:10
CUS0001749,1892,BLUE,SUT,,2023-01-25 18:50:03,2026-02-23 23:44:51
CUS0001750,1893,BLUE,SUT,King bed,2022-04-14 22:42:41,2022-04-14 22:42:41
CUS0001751,1895,BLUE,DLX,King bed,2023-06-13 03:59:04,2024-02-01 21:22:32
CUS0001752,1896,BLUE,SUT,,2023-02-06 15:34:08,2023-02-06 15:34:08
CUS0001753,1897,BLUE,SUP,Near elevator,2021-12-11 18:52:40,2025-11-18 02:42:39
CUS0001754,1898,BLUE,SUP,,2022-08-07 22:40:21,2022-08-07 22:40:21
CUS0001755,1899,SILVER,DLX,,2021-12-17 10:13:12,2025-08-28 04:56:20
CUS0001756,1900,SILVER,SUP,High floor,2022-11-21 04:24:07,2022-11-21 04:24:07
CUS0001757,1902,SILVER,STD,,2024-04-07 12:38:09,2024-04-07 12:38:09
CUS0001758,1903,GOLD,SUT,,2021-09-15 11:04:38,2022-12-08 18:41:06
CUS0001759,1904,SILVER,STD,,2021-07-20 04:51:02,2026-01-31 10:25:37
CUS0001760,1905,GOLD,SUT,,2022-10-08 21:59:15,2022-10-08 21:59:15
