segment_key,scheduled_departure_date_key,scheduled_departure_time_key,actual_departure_date_key,actual_departure_time_key,passenger_key,passenger_profile_key,segment_origin_airport_key,segment_destination_airport_key,aircraft_key,class_of_service_key,fare_basis_key,booking_channel_key,confirmation_number,ticket_number,segment_sequence_number,flight_number,base_fare_revenue_usd,passenger_facility_charges_usd,airport_tax_usd,government_tax_usd,baggage_charges_usd,upgrade_fees_usd,transaction_fees_usd,total_revenue_usd,segment_miles_flown,segment_miles_earned,delay_minutes,seat_capacity,flight_status,load_factor_pct
3118,686,2300,686,2300,2924,1842,11,2,13,15,4,1,CNF62725070,TKT1200840758,3,GA212,1563.4,5.64,15.37,8.98,1952.83,100,0.0,3646.22,5986,5836,6,393,Flown,74.2
3119,224,430,224,430,1558,610,17,6,56,8,2,2,CNF82227248,TKT5993178587,1,GA164,163.8,16.93,13.44,22.35,0.0,0,0.0,216.52,7865,3342,0,295,Flown,83.4
3120,1029,230,1029,230,604,338,6,18,5,18,5,1,CNF87340538,TKT6767703737,4,GA348,1408.36,15.97,115.38,125.4,0.0,0,0.0,1665.11,996,3485,16,172,Flown,86.6
3121,25,1145,25,1145,1119,2098,6,14,63,14,6,1,CNF96728036,TKT7199946501,2,GA962,844.25,25.44,40.57,101.1,0.0,0,0.0,1011.36,7959,21170,0,337,Flown,62.9
3122,337,30,337,30,398,3004,21,9,35,16,3,3,CNF23578223,TKT9497083406,1,GA926,112.7,13.65,10.87,13.82,0.0,0,9.02,160.06,2390,657,0,292,Flown,64.5
3123,138,545,138,545,1249,414,7,5,52,18,5,1,CNF26295364,TKT4148777459,4,GA190,1114.34,25.1,76.76,142.53,0.0,50,0.0,1408.73,1473,5155,78,300,No-Show,78.5
3124,834,500,834,500,1950,2787,14,6,57,11,4,1,CNF94188368,TKT0898809320,3,GA493,335.61,25.67,29.62,44.69,0.0,0,0.0,435.59,4368,4258,0,225,Flown,80.1
3125,1087,530,1087,530,2795,540,13,18,23,8,1,1,CNF79644817,TKT5525391255,4,GA499,143.16,26.42,11.68,8.6,50.0,0,0.0,239.86,4696,2817,0,178,Flown,80.7
3126,589,1245,589,1245,921,1244,17,14,31,11,4,1,CNF25003089,TKT7376027870,1,GA185,949.72,15.49,43.41,91.02,0.0,0,0.0,1099.64,2701,2633,0,336,Flown,72.7
3127,746,2230,746,2230,2844,578,21,13,22,12,1,1,CNF33215836,TKT3039285867,1,GA809,2209.21,25.55,10.7,31.75,1533.15,0,0.0,3810.36,2661,1596,0,168,Flown,87.8
3128,384,1315,384,1315,2143,2002,14,15,17,16,8,2,CNF43604898,TKT8336281750,4,GA602,72.42,13.44,5.18,7.73,0.0,0,0.0,98.77,1644,575,0,399,Flown,58.2
3129,730,2000,730,2000,607,4512,4,5,71,18,5,3,CNF60947188,TKT8069513191,2,GA470,295.13,20.78,26.12,38.49,50.0,0,23.61,454.13,7549,26421,2,163,Flown,67.4
3130,302,545,302,545,2681,1708,13,12,45,8,2,2,CNF42967307,TKT4686386461,3,GA128,140.18,23.04,8.46,11.85,25.0,0,0.0,208.53,1253,532,316,168,Flown,74.4
3131,538,945,538,945,73,849,11,5,29,4,2,4,CNF07812779,TKT4917655898,3,GA992,85.86,22.79,8.15,12.77,100.0,0,8.59,238.16,7863,3341,0,67,Flown,40.7
3132,300,1230,300,1230,1301,523,4,7,61,6,5,6,CNF82391627,TKT0491418562,1,GA960,792.01,25.62,69.61,80.25,50.0,0,95.04,1112.53,946,3310,0,392,No-Show,67.6
3133,173,415,173,415,1984,5371,9,18,3,3,4,1,CNF33383167,TKT2900372470,2,GA869,684.05,17.89,30.05,63.69,0.0,0,0.0,795.68,2762,2692,0,218,Flown,74.3
3134,211,1900,211,1900,2410,3887,12,13,6,8,8,2,CNF94195130,TKT7455290035,4,GA653,138.75,5.25,7.66,10.83,0.0,0,0.0,162.49,2067,723,75,77,Flown,61.1
3135,850,1930,850,1930,1048,214,18,7,12,20,1,2,CNF92057083,TKT9226303078,1,GA166,142.77,14.34,6.83,19.53,50.0,0,0.0,233.47,4274,2564,0,339,Flown,88.8
3136,790,500,790,500,19,1803,14,21,32,12,2,5,CNF37164294,TKT6125798123,2,GA109,135.59,22.8,7.21,14.68,50.0,0,6.78,237.06,4176,1774,0,74,Flown,54.9
3137,821,1300,821,1300,2283,954,2,5,71,14,6,4,CNF31603089,TKT9256311402,4,GA452,412.59,19.13,23.45,22.59,100.0,0,41.26,619.02,1484,3947,0,163,Flown,64.3
3138,459,1230,459,1230,1002,1786,13,6,20,8,3,3,CNF15308040,TKT2761778128,1,GA208,303.79,18.85,27.35,43.13,0.0,0,24.3,417.42,3812,1048,0,334,Flown,70.7
3139,656,100,656,100,1910,995,21,15,22,22,6,2,CNF93323454,TKT2231778162,1,GA251,5970.24,27.29,253.99,500.99,25.0,0,0.0,6777.51,5138,13667,0,168,Cancelled,73.0
3140,114,2030,114,2030,2364,1940,17,20,19,10,5,1,CNF14276565,TKT7076214163,1,GA725,3204.95,25.85,214.75,316.79,0.0,200,0.0,3962.34,4586,16051,102,77,Diverted,71.9
3141,358,600,358,600,337,2406,9,18,30,7,4,3,CNF50214210,TKT6114106455,1,GA377,121.45,13.12,5.27,14.36,0.0,0,9.72,163.92,5404,5268,0,393,Flown,85.1
3142,940,1845,940,1845,2489,1783,21,17,5,8,2,3,CNF82009412,TKT4451619465,1,GA628,143.1,14.77,9.12,19.44,0.0,0,11.45,197.88,6713,2853,97,172,Flown,88.8
3143,960,1330,960,1330,2045,443,14,13,68,21,7,1,CNF37092387,TKT9832323677,2,GA489,3689.54,24.13,317.68,339.43,0.0,50,0.0,4420.78,3951,43461,0,222,Flown,69.2
3144,141,2245,141,2245,2748,861,9,20,11,24,3,2,CNF09895342,TKT5170135881,2,GA498,111.25,8.33,8.37,16.12,0.0,0,0.0,144.07,4916,1351,109,391,Flown,95.0
3145,394,930,394,930,270,108,14,5,15,4,2,1,CNF21555248,TKT9930871301,4,GA425,88.7,28.84,7.12,8.65,0.0,0,0.0,133.31,2820,1198,11,391,Flown,95.3
3146,952,700,952,700,830,2327,13,17,53,16,8,4,CNF61880411,TKT2126109061,3,GA789,260.46,9.63,16.84,37.06,0.0,0,26.05,350.04,7225,2528,91,396,Flown,73.5
3147,591,1530,591,1530,1710,1493,2,11,6,16,2,3,CNF02967469,TKT7780349316,3,GA824,116.67,24.71,9.49,13.1,0.0,0,9.33,173.3,4423,1879,8,77,Flown,64.0
3148,592,630,592,630,613,4140,6,20,50,2,5,5,CNF39348355,TKT7490857471,1,GA787,1407.16,18.51,108.14,200.54,0.0,200,70.36,2004.71,6988,24457,0,220,Flown,76.0
3149,468,1800,468,1800,2667,922,7,4,56,12,3,2,CNF77155648,TKT9643224696,2,GA914,21.54,20.91,0.99,1.37,0.0,50,0.0,94.81,3089,849,0,295,Flown,78.4
3150,414,130,414,130,31,741,15,17,26,13,7,5,CNF31815899,TKT6099326343,4,GA445,14501.69,16.12,1295.79,776.49,0.0,0,725.08,17315.17,7427,81697,0,181,Flown,71.6
3151,863,2015,863,2015,1456,130,21,15,16,13,7,2,CNF09262048,TKT2401521738,1,GA656,9148.06,28.3,388.39,850.73,25.0,0,0.0,10440.48,5769,63459,0,397,Flown,90.3
3152,1066,2145,1066,2145,494,1484,15,11,58,16,8,1,CNF10189733,TKT2471525899,4,GA552,135.56,23.57,11.92,16.89,0.0,50,0.0,237.94,524,183,0,166,Flown,63.0
3153,400,715,400,715,2182,1868,13,4,2,20,1,3,CNF96739031,TKT6972818858,2,GA687,286.48,17.91,21.63,24.87,50.0,0,22.92,423.81,595,357,10,175,Flown,49.5
3154,273,1945,273,1945,2264,3887,6,17,9,14,5,4,CNF40734319,TKT0857346986,3,GA958,2521.06,7.82,188.12,258.55,75.0,0,252.11,3302.66,6677,23369,22,177,Flown,71.5
3155,65,1245,65,1245,554,5822,18,15,48,24,8,2,CNF75897015,TKT4227095577,3,GA956,262.62,22.88,15.21,17.55,50.0,0,0.0,368.26,7140,2499,0,164,Flown,65.7
3156,844,1145,844,1145,1432,2256,15,11,23,24,8,2,CNF20053688,TKT9089643538,2,GA658,102.52,20.59,8.14,10.64,0.0,50,0.0,191.89,5016,1755,0,178,Flown,65.0
3157,527,1400,527,1400,1153,1203,9,7,63,6,6,2,CNF20187767,TKT1294411530,3,GA499,580.24,21.59,55.55,83.3,0.0,0,0.0,740.68,3002,7985,33,337,Flown,79.5
3158,589,1200,589,1200,113,754,17,15,9,18,5,5,CNF91270736,TKT6206272447,3,GA960,1539.11,9.42,105.41,144.29,0.0,0,76.96,1875.19,5011,17538,0,177,Flown,87.0
3159,684,745,684,745,736,2581,2,11,69,14,5,3,CNF09967450,TKT7162392526,4,GA332,591.64,16.0,50.38,42.34,25.0,0,47.33,772.69,5943,20800,27,400,Flown,81.1
3160,1071,345,1071,345,419,1699,6,12,17,7,4,1,CNF55575768,TKT1120056555,3,GA895,338.28,10.82,23.71,36.21,25.0,0,0.0,434.02,2538,2474,0,399,Flown,72.2
3161,510,300,510,300,2033,4061,18,4,14,16,1,6,CNF30407439,TKT3872707593,2,GA879,124.07,12.42,7.92,12.41,0.0,0,14.89,171.71,1799,1079,0,158,Flown,70.7
3162,291,815,291,815,925,1730,18,9,20,16,1,2,CNF35924238,TKT4482328901,3,GA403,306.38,9.47,13.41,38.22,100.0,0,0.0,467.48,6191,3714,0,334,Flown,81.4
3163,3,615,3,615,1564,2018,11,12,8,20,3,1,CNF71063781,TKT1868938395,2,GA158,101.59,28.96,6.42,9.33,0.0,100,0.0,246.3,403,110,5,400,Cancelled,83.2
3164,1036,2245,1036,2245,1451,703,7,14,41,19,4,1,CNF43457128,TKT4038405887,1,GA811,236.52,24.55,16.16,33.87,0.0,0,0.0,311.1,3054,2977,107,221,Flown,69.8
3165,440,2045,440,2045,2025,1321,4,20,2,4,3,2,CNF04919318,TKT7323351950,3,GA506,254.51,26.76,18.9,29.04,50.0,500,0.0,879.21,1792,492,0,175,Flown,93.6
3166,377,245,377,245,345,730,12,11,21,20,2,2,CNF96233440,TKT5938983333,1,GA194,143.16,16.15,6.31,7.43,50.0,0,0.0,223.05,4581,1946,0,294,Flown,76.4
3167,439,1745,439,1745,49,180,17,15,71,1,7,2,CNF78733580,TKT5829989598,2,GA426,9235.93,23.81,488.79,1237.58,0.0,0,0.0,10986.11,268,2948,55,163,Flown,45.5
3168,549,200,549,200,1989,83,20,21,48,20,8,4,CNF14880595,TKT1556746422,1,GA245,279.32,17.06,17.84,15.89,0.0,0,27.93,358.04,3376,1181,0,164,Flown,73.9
3169,596,0,596,0,87,2276,12,21,60,6,6,3,CNF73006364,TKT7048704280,3,GA482,879.46,18.17,53.46,110.65,100.0,0,70.36,1232.1,2289,6088,0,335,Flown,68.6
3170,530,2130,530,2130,334,1278,15,17,38,2,5,1,CNF48919294,TKT4763377993,1,GA452,651.17,5.58,57.46,82.38,0.0,0,0.0,796.59,2846,9961,0,340,Flown,95.1
3171,31,2315,31,2315,732,1490,11,13,25,20,3,1,CNF80470130,TKT3760491917,1,GA483,71.64,15.66,6.49,9.09,0.0,0,0.0,102.88,3186,876,0,159,Flown,70.9
3172,231,2200,231,2200,1139,2851,9,18,35,24,2,4,CNF99705797,TKT3108027136,2,GA122,218.7,23.18,20.51,21.8,0.0,0,21.87,306.06,4261,1810,10,292,Diverted,82.8
3173,839,1130,839,1130,1652,368,17,13,57,21,7,2,CNF22557841,TKT9032221138,2,GA677,6993.44,9.09,468.98,727.79,0.0,0,0.0,8199.3,4293,47223,187,225,Flown,72.4
3174,455,1145,455,1145,1981,1979,2,5,17,22,5,1,CNF86918660,TKT7094195724,2,GA757,492.49,22.51,29.17,47.25,0.0,0,0.0,591.42,2255,7892,0,399,Flown,81.6
3175,660,130,660,130,1606,611,20,2,38,24,1,1,CNF16858453,TKT6981053405,4,GA289,587.15,16.95,37.31,72.86,0.0,0,0.0,714.27,945,567,0,340,Flown,69.0
3176,849,1715,849,1715,2361,2950,11,17,55,11,4,4,CNF34749230,TKT8107993456,2,GA950,392.06,5.12,35.29,25.59,0.0,0,39.21,497.27,7826,7630,0,218,Flown,90.9
3177,893,0,893,0,922,1348,7,11,5,2,6,1,CNF51390726,TKT7453396259,3,GA530,1229.97,24.4,65.98,118.76,0.0,0,0.0,1439.11,5619,14946,187,172,Flown,71.6
3178,638,2245,638,2245,1852,2360,6,11,36,3,4,1,CNF99178027,TKT1522737226,3,GA309,154.56,17.29,11.85,11.92,0.0,200,0.0,395.62,3996,3896,52,179,Flown,83.2
3179,1029,300,1029,300,1420,1226,11,6,26,2,6,6,CNF38617168,TKT1383581781,3,GA259,319.4,25.77,18.09,46.88,0.0,0,38.33,448.47,6080,16172,0,181,Flown,89.2
3180,584,1430,584,1430,1725,1663,5,9,60,20,8,2,CNF05245035,TKT7835421135,1,GA598,30.35,15.46,2.99,3.35,0.0,0,0.0,52.15,3227,1129,223,335,Flown,57.3
3181,94,300,94,300,1965,1668,4,18,1,16,8,2,CNF79614440,TKT0579979843,3,GA642,196.8,16.03,13.5,22.31,0.0,50,0.0,298.64,4460,1561,112,166,Flown,43.4
3182,8,145,8,145,242,1696,11,20,61,8,3,5,CNF15227911,TKT0746550653,3,GA475,98.94,13.47,8.41,10.38,0.0,0,4.95,136.15,6970,1916,0,392,Flown,69.8
3183,767,1815,767,1815,732,1267,5,17,13,9,7,2,CNF02006865,TKT2320420422,2,GA371,3198.02,7.19,261.38,217.3,0.0,0,0.0,3683.89,1820,20020,0,393,Flown,79.2
3184,761,1600,761,1600,290,1481,14,11,16,20,8,3,CNF47042848,TKT5013672450,3,GA193,69.21,14.65,5.6,9.33,0.0,50,5.54,154.33,2970,1039,0,397,Flown,77.0
3185,1070,1130,1070,1130,1923,1521,13,21,13,19,4,2,CNF89320085,TKT8752193269,2,GA434,363.98,14.96,17.71,42.48,0.0,0,0.0,439.13,426,415,60,393,Flown,77.4
3186,775,445,775,445,1248,2099,5,14,29,12,3,1,CNF44643102,TKT9120976583,3,GA742,68.69,7.7,5.02,6.74,50.0,0,0.0,138.15,4408,1212,56,67,Flown,86.5
3187,508,1300,508,1300,333,1357,21,12,71,1,7,1,CNF57178620,TKT8927997934,4,GA407,3897.9,6.7,222.49,546.6,0.0,0,0.0,4673.69,7628,83908,24,163,Flown,90.1
3188,484,2300,484,2300,2913,2920,7,15,43,6,6,1,CNF83294807,TKT4268901750,1,GA118,660.33,16.12,42.56,46.01,0.0,0,0.0,765.02,3158,8400,0,393,Flown,61.8
3189,103,1100,103,1100,632,5919,11,5,20,6,5,4,CNF17754750,TKT3168157366,2,GA609,554.93,9.83,39.64,52.1,0.0,0,55.49,711.99,4999,17496,22,334,Flown,87.5
3190,555,2000,555,2000,92,3191,9,12,62,24,1,2,CNF40968012,TKT0039081970,4,GA783,142.25,17.16,10.54,13.06,50.0,0,0.0,233.01,4290,2574,0,177,Flown,42.1
3191,328,15,328,15,2778,2902,18,7,47,10,5,1,CNF47659544,TKT0888850372,3,GA847,2089.47,18.48,183.19,244.44,50.0,0,0.0,2585.58,2587,9054,0,67,No-Show,88.8
3192,113,2100,113,2100,2234,1087,2,15,63,11,4,1,CNF19304180,TKT8482960462,3,GA581,560.13,27.98,54.39,46.52,75.0,0,0.0,764.02,3855,3758,0,337,Flown,44.0
3193,619,945,619,945,1240,1435,11,6,42,5,7,2,CNF08738432,TKT2156343976,4,GA314,1289.56,18.37,74.49,87.1,0.0,0,0.0,1469.52,4503,49533,0,338,Flown,90.2
3194,188,2245,188,2245,354,1015,13,14,8,8,1,2,CNF82523815,TKT4743299557,3,GA890,183.47,11.55,11.82,10.87,50.0,0,0.0,267.71,6065,3639,0,400,Flown,90.2
3195,779,2215,779,2215,2969,3994,15,7,15,16,2,6,CNF55383506,TKT5413907443,1,GA792,132.16,7.83,7.13,8.36,0.0,0,15.86,171.34,1699,722,0,391,Flown,57.5
3196,895,845,895,845,930,1638,21,11,32,20,3,4,CNF29792022,TKT2123703228,4,GA738,119.18,26.47,9.86,7.45,0.0,0,11.92,174.88,5459,1501,0,74,Cancelled,76.1
3197,773,1515,773,1515,1442,1824,4,17,34,12,3,2,CNF88970260,TKT0520610841,4,GA422,95.82,6.17,8.14,11.8,0.0,100,0.0,221.93,1249,343,25,157,Flown,83.4
3198,309,1045,309,1045,2067,5964,4,18,28,16,3,3,CNF06977753,TKT2386377364,1,GA902,153.67,24.7,14.64,11.58,75.0,0,12.29,291.88,6920,1903,22,393,Flown,72.5
3199,739,1215,739,1215,352,5359,14,11,15,6,5,3,CNF21785722,TKT8043691742,2,GA728,1218.64,24.72,84.88,158.41,0.0,0,97.49,1584.14,4349,15221,0,391,Flown,80.7
3200,932,930,932,930,2946,2446,15,4,50,21,7,5,CNF38086919,TKT1809817455,3,GA478,6073.15,15.37,256.41,908.39,50.0,0,303.66,7606.98,475,5225,25,220,Flown,68.9
3201,927,1445,927,1445,1712,1327,7,13,9,9,7,4,CNF27537004,TKT1023362864,2,GA369,4211.01,22.3,210.12,373.79,0.0,0,421.1,5238.32,3871,42581,105,177,Flown,66.1
3202,327,1300,327,1300,174,3293,21,18,21,4,3,2,CNF11692770,TKT3893136490,3,GA835,198.11,29.87,19.3,17.32,0.0,50,0.0,314.6,7477,2056,0,294,Flown,98.7
3203,65,1715,65,1715,207,928,20,11,22,20,3,1,CNF36571688,TKT9729319010,3,GA217,62.6,17.16,4.2,8.1,50.0,0,0.0,142.06,3460,951,22,168,Flown,88.3
3204,407,2015,407,2015,1110,4197,12,18,26,8,2,1,CNF18554057,TKT4487038171,2,GA917,97.97,14.48,5.32,4.95,0.0,50,0.0,172.72,3589,1525,0,181,No-Show,55.2
3205,549,1400,549,1400,70,2555,12,9,50,8,8,1,CNF74749079,TKT2328533736,1,GA161,309.83,27.09,25.71,18.05,0.0,0,0.0,380.68,4086,1430,93,220,Flown,79.9
3206,955,1715,955,1715,1060,4227,14,6,18,2,6,1,CNF23057620,TKT7266931858,3,GA553,793.48,8.58,67.29,87.34,0.0,0,0.0,956.69,7007,18638,0,69,Flown,74.7
3207,146,645,146,645,97,2466,12,14,27,24,8,4,CNF52186253,TKT9563948742,4,GA352,76.95,29.34,4.53,10.42,0.0,0,7.7,128.94,4478,1567,170,175,Flown,91.3
3208,170,0,170,0,2352,1676,5,6,70,10,6,1,CNF24349093,TKT4269263444,1,GA292,420.45,12.25,33.09,27.32,0.0,0,0.0,493.11,2833,7535,0,165,Flown,70.7
3209,647,400,647,400,611,447,6,18,6,20,3,4,CNF83041054,TKT5896019377,2,GA525,38.88,8.18,3.1,5.83,0.0,0,3.89,59.88,4115,1131,13,77,Flown,73.2
3210,480,830,480,830,731,1152,21,12,33,20,3,1,CNF28675668,TKT0734571071,2,GA466,126.85,14.76,11.25,18.93,25.0,0,0.0,196.79,1007,276,0,77,Flown,90.1
3211,894,1400,894,1400,501,2923,6,5,12,20,2,1,CNF78065502,TKT6472231464,4,GA311,103.87,19.69,8.15,10.64,0.0,50,0.0,192.35,1415,601,0,339,Flown,35.7
3212,968,945,968,945,2430,1962,7,12,18,17,7,2,CNF20207657,TKT9667581343,3,GA875,4592.9,8.46,453.91,437.77,0.0,0,0.0,5493.04,6978,76758,18,69,Flown,68.8
3213,885,145,885,145,2285,2014,5,13,10,8,1,1,CNF44776236,TKT9663786120,4,GA154,241.94,13.37,11.73,14.69,0.0,0,0.0,281.73,4900,2940,6,399,Flown,76.2
3214,153,1115,153,1115,1909,1737,13,2,48,22,6,2,CNF45977674,TKT0495069251,3,GA456,2888.1,20.63,160.48,230.72,25.0,0,0.0,3324.93,1395,3710,50,164,Flown,91.4
3215,541,30,541,30,3,1036,12,15,19,10,6,2,CNF91155652,TKT9278136248,4,GA508,757.76,19.1,74.75,92.92,25.0,0,0.0,969.53,2269,6035,15,77,Flown,66.1
3216,78,2330,78,2330,1624,1455,21,15,6,12,2,4,CNF04677933,TKT8395027862,1,GA935,149.45,28.25,6.23,11.91,0.0,0,14.94,210.78,4452,1892,0,77,Flown,77.2
3217,1034,2345,1034,2345,1227,4291,12,6,16,12,1,2,CNF63141350,TKT3978514120,3,GA614,165.14,15.42,15.74,15.29,0.0,0,0.0,211.59,1640,984,0,397,Flown,84.0
3218,351,330,351,330,1062,1729,18,14,5,12,3,4,CNF11906773,TKT6852374761,3,GA374,151.08,27.39,14.4,16.47,0.0,0,15.11,224.45,4921,1353,0,172,Flown,67.8
3219,505,2300,505,2300,578,2043,20,2,58,19,4,1,CNF15584973,TKT8400811052,2,GA845,340.5,23.98,21.56,49.67,50.0,0,0.0,485.71,4905,4782,0,166,Cancelled,87.5
3220,829,515,829,515,2135,4835,11,21,12,8,3,6,CNF12407667,TKT8619866453,2,GA569,89.09,18.25,5.06,5.7,0.0,0,10.69,128.79,7240,1991,0,339,Diverted,91.1
3221,429,2230,429,2230,725,1714,15,7,55,16,1,2,CNF38373310,TKT7476031077,1,GA801,184.74,12.64,10.11,19.71,75.0,0,0.0,302.2,3486,2091,0,218,Flown,87.6
3222,752,730,752,730,940,717,5,21,38,12,3,6,CNF73533964,TKT1441275798,3,GA771,109.95,7.0,5.31,7.49,0.0,0,13.19,142.94,5112,1405,80,340,Flown,53.3
3223,971,745,971,745,503,2567,11,9,66,6,6,2,CNF80272099,TKT3525120987,2,GA492,584.45,7.41,28.23,69.24,0.0,0,0.0,689.33,5324,14161,0,77,Flown,77.7
3224,241,1900,241,1900,2795,4828,14,6,2,16,1,4,CNF55467004,TKT7587012808,4,GA785,195.15,17.74,8.18,15.43,0.0,100,19.52,356.02,4869,2921,0,175,Flown,87.9
3225,1011,2030,1011,2030,2970,108,6,14,6,14,6,6,CNF70341163,TKT8610108301,4,GA610,13486.04,13.3,134.56,133.32,1789.42,0,161.83,15718.47,1918,5101,0,77,Flown,44.1
3226,318,1130,318,1130,1872,1371,6,4,38,10,6,4,CNF53527800,TKT5608863841,2,GA262,609.57,16.9,27.21,33.77,0.0,0,60.96,748.41,3243,8626,0,340,Flown,40.3
3227,945,0,945,0,2367,1752,12,2,65,8,8,1,CNF96284194,TKT4746905792,4,GA621,103.66,29.1,6.83,10.12,25.0,0,0.0,174.71,5933,2076,0,68,Flown,78.5
3228,285,1800,285,1800,1305,5172,5,2,11,8,3,2,CNF32183957,TKT6853893356,3,GA532,56.1,23.67,3.05,5.2,0.0,0,0.0,88.02,2642,726,0,391,Flown,90.1
3229,311,1945,311,1945,124,220,9,6,63,24,2,5,CNF24195178,TKT6318927869,2,GA243,82.65,11.8,6.46,4.77,100.0,0,4.13,209.81,2771,1177,0,337,Flown,68.7
3230,806,1915,806,1915,683,2562,11,18,45,14,6,1,CNF85687967,TKT3799568808,3,GA348,866.21,10.46,46.7,124.01,0.0,0,0.0,1047.38,6544,17407,0,168,Flown,62.3
3231,1009,2230,1009,2230,635,1720,13,6,3,4,8,5,CNF59665216,TKT3487864801,3,GA661,94.07,16.16,6.22,13.07,0.0,0,4.7,134.22,6471,2264,3,218,Flown,92.9
3232,717,2030,717,2030,2626,2469,11,7,14,8,8,4,CNF05118426,TKT4102205835,3,GA880,40.83,13.57,2.06,4.58,50.0,200,4.08,315.12,1157,404,0,158,Flown,89.7
3233,743,1945,743,1945,2057,1869,14,12,27,20,2,2,CNF95788083,TKT5262738276,3,GA310,177.67,13.53,17.34,16.34,0.0,0,0.0,224.88,1164,494,0,175,Flown,75.6
3234,473,615,473,615,2604,1485,5,21,65,11,4,5,CNF06706250,TKT9179261198,3,GA474,469.27,7.33,22.61,54.68,100.0,50,23.46,727.35,7460,7273,0,68,Flown,76.8
3235,1001,600,1001,600,1514,2133,17,6,12,4,3,4,CNF09560699,TKT3232367365,2,GA805,67.33,28.55,4.72,6.87,50.0,0,6.73,164.2,1519,417,0,339,Flown,63.0
3236,661,445,661,445,1024,1169,12,4,69,17,7,3,CNF40197311,TKT1202722163,3,GA578,6107.43,10.15,419.16,378.35,0.0,0,488.59,7403.68,6429,70719,23,400,Flown,67.1
3237,370,2130,370,2130,1160,809,17,12,69,12,3,2,CNF17419938,TKT9273340958,2,GA961,85.85,5.52,5.56,12.04,25.0,0,0.0,133.97,2359,648,0,400,Flown,56.6
3238,843,2230,843,2230,2906,3203,17,2,23,7,4,1,CNF63546923,TKT2662429966,4,GA433,280.03,26.05,15.46,33.96,0.0,0,0.0,355.5,6044,5892,26,178,Flown,88.5
3239,218,1615,218,1615,953,2303,18,12,48,20,1,1,CNF39074266,TKT3389122800,1,GA482,140.17,21.35,13.71,7.98,75.0,50,0.0,308.21,7008,4204,0,164,Flown,92.7
3240,286,1100,286,1100,411,943,4,18,66,18,6,6,CNF23706093,TKT1417336123,4,GA315,840.51,25.21,68.59,76.93,0.0,0,100.86,1112.1,4416,11746,0,77,Flown,82.8
3241,783,1130,783,1130,1726,498,13,15,6,6,6,1,CNF93381894,TKT5497515238,3,GA424,943.84,7.93,40.1,75.36,50.0,0,0.0,1117.23,4214,11209,0,77,Flown,69.3
3242,953,200,953,200,1917,5317,18,13,61,24,8,1,CNF58972506,TKT7132237090,3,GA537,92.97,20.03,8.19,12.89,75.0,200,0.0,409.08,4180,1463,13,392,Flown,78.6
3243,491,2245,491,2245,529,1697,5,9,10,12,1,3,CNF31346443,TKT9015339583,1,GA919,89.31,18.21,5.56,6.37,75.0,0,7.14,201.59,3947,2368,29,399,Flown,82.8
3244,435,345,435,345,2409,4675,12,14,9,13,7,1,CNF32650901,TKT2818489364,4,GA238,10687.38,19.31,550.86,904.36,25.0,0,0.0,12186.91,6184,68024,0,177,Flown,90.4
3245,845,1300,845,1300,2504,1825,17,6,53,18,5,1,CNF59030067,TKT9913468060,1,GA958,1018.59,14.45,82.38,121.73,0.0,0,0.0,1237.15,1372,4802,0,396,Flown,69.0
3246,906,2100,906,2100,2904,482,20,21,8,8,1,1,CNF65612174,TKT7267234068,2,GA213,626.39,9.68,48.88,69.28,50.0,0,0.0,804.23,2999,1799,0,400,Flown,76.0
3247,632,1545,632,1545,333,43,11,15,27,20,1,1,CNF87727538,TKT6689707342,2,GA974,292.83,23.65,14.75,30.74,50.0,100,0.0,511.97,6761,4056,0,175,Flown,66.4
3248,201,115,201,115,927,487,12,7,38,24,1,5,CNF18089316,TKT9823799534,4,GA855,325.29,17.91,29.44,17.27,0.0,0,16.26,406.17,7958,4774,0,340,Flown,90.2
3249,720,1145,720,1145,672,1897,20,6,32,16,1,1,CNF20566807,TKT3526756529,1,GA487,176.72,27.27,14.64,14.27,0.0,100,0.0,332.9,334,200,16,74,Flown,80.8
3250,672,2315,672,2315,75,259,12,18,3,22,6,1,CNF80530361,TKT0046051001,1,GA676,1003.24,21.22,89.75,108.23,0.0,0,0.0,1222.44,4147,11031,7,218,Flown,50.5
3251,58,1315,58,1315,1335,2673,6,11,3,19,4,2,CNF99500987,TKT2646271675,2,GA453,171.18,25.54,13.66,22.55,0.0,0,0.0,232.93,3467,3380,0,218,Flown,64.6
3252,529,1730,529,1730,2753,2507,13,14,15,2,6,2,CNF20593541,TKT5723974247,1,GA179,1685.82,15.35,86.54,140.48,0.0,100,0.0,2028.19,852,2266,0,391,Flown,76.4
3253,1068,800,1068,800,394,352,5,2,66,16,3,3,CNF42589199,TKT5974651984,1,GA104,88.94,26.55,8.27,13.23,0.0,0,7.12,144.11,1149,315,0,77,Flown,76.1
3254,815,1215,815,1215,1530,2429,7,20,61,20,1,4,CNF65631603,TKT2888948978,3,GA341,100.63,6.0,9.29,6.83,0.0,0,10.06,132.81,2815,1689,0,392,No-Show,71.1
3255,634,2345,634,2345,1691,1126,20,9,65,4,2,3,CNF94172635,TKT2882808231,3,GA492,88.07,8.28,4.4,9.18,0.0,200,7.05,316.98,3662,1556,0,68,Flown,81.4
