hotel_stay_key,reservation_date_key,arrival_date_key,departure_date_key,customer_key,hotel_property_key,booking_channel_key,confirmation_number,ticket_number,number_of_nights,room_type_code,room_type_name,nightly_rate_usd,extended_room_charge_usd,tax_charge_usd,extra_charges_usd,commission_paid_usd,net_revenue_usd,total_bill_usd,reservation_status,lead_time_days,linked_flight_segment
769,20,63,65,792,62,3,HCF68807352,HTK3864146461,2,SUP,Superior Room,868.55,1737.1,182.4,32.25,138.97,1598.13,1951.75,No-Show,43,False
770,16,32,33,2094,8,1,HCF69416012,HTK0038158543,1,STD,Standard Room,229.83,229.83,12.64,0.0,0.0,229.83,242.47,Checked-Out,16,False
771,1026,1033,1036,29,60,4,HCF48215150,HTK9692066460,3,STD,Standard Room,303.22,909.66,95.51,49.44,90.97,818.69,1054.61,Checked-Out,7,True
772,659,674,676,1632,52,2,HCF55303497,HTK2001018487,2,DLX,Deluxe Room,72.79,145.58,13.83,0.0,0.0,145.58,159.41,Checked-Out,15,True
773,916,968,969,2615,50,1,HCF74642493,HTK4922819657,1,DLX,Deluxe Room,131.95,131.95,12.54,168.32,0.0,131.95,312.81,Checked-Out,52,False
774,620,637,641,1467,62,2,HCF36558878,HTK8318770124,4,STD,Standard Room,466.36,1865.44,195.87,0.0,0.0,1865.44,2061.31,Checked-Out,17,True
775,326,328,331,260,14,1,HCF39596676,HTK9278033652,3,DLX,Deluxe Room,373.8,1121.4,78.5,85.04,0.0,1121.4,1284.94,Checked-Out,2,True
776,836,839,840,274,54,2,HCF99791984,HTK8119193042,1,STD,Standard Room,120.11,120.11,10.21,11.08,0.0,120.11,141.4,Checked-Out,3,True
777,24,31,34,1460,54,1,HCF88898899,HTK7372524927,3,SUT,Suite,300.1,4516.46,383.9,0.0,0.0,900.3,4900.36,Checked-Out,7,True
778,144,160,161,407,1,2,HCF28055856,HTK3072153560,1,STD,Standard Room,68.41,68.41,4.45,0.0,0.0,68.41,72.86,Checked-Out,16,True
779,100,108,111,1699,2,1,HCF07434388,HTK6018235205,3,STD,Standard Room,163.96,491.88,31.97,0.0,0.0,491.88,523.85,Checked-Out,8,True
780,780,805,812,1137,19,1,HCF99647350,HTK4457891512,7,STD,Standard Room,250.97,1756.79,87.84,0.0,0.0,1756.79,1844.63,Checked-Out,25,True
781,191,202,203,180,58,3,HCF66561718,HTK8490476106,1,SUP,Superior Room,191.76,191.76,23.01,0.0,15.34,176.42,214.77,Checked-Out,11,False
782,5,5,12,2233,60,2,HCF50424829,HTK4720076428,7,EXC,Executive Room,513.74,3596.18,377.6,0.0,0.0,3596.18,3973.78,Cancelled,37,True
783,524,534,537,2731,21,3,HCF98763372,HTK2581441268,3,EXC,Executive Room,180.25,540.75,27.04,0.0,43.26,497.49,567.79,Checked-Out,10,True
784,477,490,493,1133,62,2,HCF56062922,HTK3554157701,3,SUP,Superior Room,771.49,2314.47,243.02,41.84,0.0,2314.47,2599.33,Checked-Out,13,True
785,669,672,676,2855,51,2,HCF66905253,HTK9473638105,4,STD,Standard Room,614.4,2457.6,233.47,0.0,0.0,2457.6,2691.07,Checked-Out,3,True
786,14,21,22,225,2,2,HCF49916646,HTK4007612645,1,EXC,Executive Room,316.82,316.82,20.59,0.0,0.0,316.82,337.41,Checked-Out,7,True
787,915,916,918,2055,33,2,HCF31620956,HTK1691829990,2,SUP,Superior Room,122.66,245.32,22.08,25.01,0.0,245.32,292.41,Checked-Out,1,True
788,831,839,840,1009,25,2,HCF79824000,HTK8469222958,1,DLX,Deluxe Room,212.16,212.16,10.61,0.0,0.0,212.16,222.77,Checked-Out,8,False
789,1052,1054,1057,2245,52,2,HCF68613396,HTK9892963825,3,SUT,Suite,125.83,377.49,35.86,18.49,0.0,377.49,431.84,Checked-Out,2,True
790,903,936,937,2796,1,2,HCF00289074,HTK1854434840,1,SUP,Superior Room,106.93,106.93,6.95,0.0,0.0,106.93,113.88,Checked-Out,33,False
791,586,589,591,302,25,2,HCF70005419,HTK7626581941,2,STD,Standard Room,265.56,531.12,26.56,0.0,0.0,531.12,557.68,Checked-Out,3,False
792,776,788,792,1908,62,5,HCF76758023,HTK0926359312,4,DLX,Deluxe Room,775.74,3102.96,325.81,167.22,155.15,2947.81,3595.99,Cancelled,12,True
793,807,840,841,721,9,2,HCF76071463,HTK1181459311,1,DLX,Deluxe Room,163.35,163.35,8.98,0.0,0.0,163.35,172.33,No-Show,33,False
794,209,214,215,1576,22,4,HCF33348428,HTK4708890987,1,DLX,Deluxe Room,124.89,124.89,6.24,0.0,12.49,112.4,131.13,Checked-Out,5,True
795,864,866,870,525,62,4,HCF32728685,HTK6372321945,4,STD,Standard Room,435.18,1740.72,182.78,94.26,174.07,1566.65,2017.76,Checked-Out,2,False
796,981,991,993,1167,33,1,HCF48758659,HTK9904462051,2,SUP,Superior Room,66.33,132.66,11.94,0.0,0.0,132.66,144.6,Checked-Out,10,True
797,897,904,908,2498,3,5,HCF97004892,HTK0453045080,4,STD,Standard Room,56.77,227.08,14.76,0.0,11.35,215.73,241.84,Checked-Out,7,False
798,1021,1039,1044,1367,16,4,HCF44679277,HTK7099627303,5,DLX,Deluxe Room,167.3,836.5,58.56,0.0,83.65,752.85,895.06,Cancelled,18,False
799,942,981,982,1932,45,2,HCF29399011,HTK5694658087,1,STD,Standard Room,257.47,257.47,18.02,0.0,0.0,257.47,275.49,Checked-Out,39,True
800,307,321,322,2239,58,2,HCF20719646,HTK7529607816,1,EXC,Executive Room,385.14,385.14,46.22,0.0,0.0,385.14,431.36,Checked-Out,14,True
801,829,868,869,918,50,1,HCF71139891,HTK6610844857,1,STD,Standard Room,137.31,137.31,13.04,10.94,0.0,137.31,161.29,Checked-Out,39,True
802,961,962,964,1391,14,1,HCF36859853,HTK5180402272,2,SUP,Superior Room,257.21,514.42,36.01,0.0,0.0,514.42,550.43,Checked-Out,1,True
803,561,569,571,1887,51,1,HCF73900669,HTK9927469365,2,DLX,Deluxe Room,907.58,1815.16,172.44,0.0,0.0,1815.16,1987.6,Cancelled,8,True
804,677,678,679,2753,38,2,HCF42171702,HTK4730380798,1,DLX,Deluxe Room,125.15,125.15,9.39,0.0,0.0,125.15,134.54,Checked-Out,1,False
805,931,957,962,63,30,2,HCF64661510,HTK7197191090,5,SUP,Superior Room,236.57,1182.85,56.78,0.0,0.0,1182.85,1239.63,Checked-Out,26,False
806,808,817,818,890,3,1,HCF84847332,HTK5661373508,1,FAM,Family Room,168.02,168.02,10.92,0.0,0.0,168.02,178.94,Checked-Out,9,True
807,92,97,98,578,16,2,HCF61330532,HTK3659220151,1,STD,Standard Room,170.33,170.33,11.92,0.0,0.0,170.33,182.25,Checked-Out,5,True
808,844,846,847,781,11,4,HCF68132404,HTK9082877043,1,FAM,Family Room,144.39,144.39,7.94,0.0,14.44,129.95,152.33,Checked-Out,2,False
809,404,415,418,984,17,1,HCF95911490,HTK0753406374,3,DLX,Deluxe Room,191.22,573.66,28.68,0.0,0.0,573.66,602.34,Checked-Out,11,True
810,215,235,238,1270,17,3,HCF52625016,HTK4879444745,3,STD,Standard Room,134.52,403.56,20.18,0.0,32.28,371.28,423.74,Checked-Out,20,False
811,202,204,207,186,57,6,HCF82061184,HTK6818937661,3,DLX,Deluxe Room,454.34,1363.02,163.56,0.0,163.56,1199.46,1526.58,Checked-Out,2,False
812,578,655,656,1192,3,1,HCF85416888,HTK1645540154,1,STD,Standard Room,57.69,57.69,3.75,0.0,0.0,57.69,61.44,Checked-Out,77,True
813,752,773,776,462,51,4,HCF62488530,HTK0206830654,3,DLX,Deluxe Room,651.71,1955.13,185.74,0.0,195.51,1759.62,2140.87,Cancelled,21,True
814,742,743,745,2445,62,2,HCF40047160,HTK9664086055,2,DLX,Deluxe Room,962.7,1925.4,202.17,15.71,0.0,1925.4,2143.28,No-Show,1,False
815,347,367,369,833,28,1,HCF50655939,HTK2542857124,2,DLX,Deluxe Room,578.46,1156.92,55.53,0.0,0.0,1156.92,1212.45,Checked-Out,20,False
816,910,912,913,186,53,4,HCF44564997,HTK2464524122,1,DLX,Deluxe Room,396.84,396.84,33.73,0.0,39.68,357.16,430.57,Checked-Out,2,False
817,970,978,979,728,53,4,HCF39203200,HTK5712784664,1,STD,Standard Room,278.02,278.02,23.63,28.64,27.8,250.22,330.29,Checked-Out,8,False
818,46,52,56,2603,9,1,HCF76772466,HTK8388825594,4,STD,Standard Room,159.21,636.84,35.03,0.0,0.0,636.84,671.87,Checked-Out,6,False
819,412,421,425,1436,48,2,HCF60033666,HTK4141198047,4,STD,Standard Room,209.47,837.88,83.79,0.0,0.0,837.88,921.67,Checked-Out,9,False
820,36,66,71,360,31,4,HCF62438931,HTK2556627833,5,DLX,Deluxe Room,796.52,3982.6,191.16,0.0,398.26,3584.34,4173.76,Checked-Out,30,True
821,593,636,638,502,37,2,HCF90929281,HTK5762360488,2,SUP,Superior Room,210.04,420.08,37.81,0.0,0.0,420.08,457.89,Checked-Out,43,False
822,930,939,940,714,31,1,HCF25709118,HTK6813836156,1,STD,Standard Room,568.43,568.43,27.28,0.0,0.0,568.43,595.71,Checked-Out,9,True
823,23,43,46,2720,56,2,HCF82474495,HTK5506804120,3,STD,Standard Room,549.93,1649.79,140.23,0.0,0.0,1649.79,1790.02,Checked-Out,20,True
824,510,518,519,1194,57,1,HCF41206279,HTK4576211522,1,DLX,Deluxe Room,228.76,228.76,27.45,0.0,0.0,228.76,256.21,In-House,8,True
825,716,748,750,2025,23,1,HCF40794257,HTK7918259808,2,DLX,Deluxe Room,847.37,1694.74,84.74,36.29,0.0,1694.74,1815.77,Cancelled,32,False
826,526,537,538,682,57,4,HCF70881551,HTK4254028877,1,SUP,Superior Room,394.25,394.25,47.31,21.14,39.42,354.83,462.7,Checked-Out,11,False
827,1027,1031,1034,2197,4,1,HCF50958144,HTK4387201729,3,STD,Standard Room,57.7,173.1,11.25,43.51,0.0,173.1,227.86,Checked-Out,4,False
828,533,549,553,118,30,2,HCF02293313,HTK8903814035,4,SUP,Superior Room,237.84,951.36,45.67,0.0,0.0,951.36,997.03,Checked-Out,16,False
829,913,915,917,830,56,4,HCF85843145,HTK6692535990,2,DLX,Deluxe Room,1024.44,2048.88,174.15,0.0,204.89,1843.99,2223.03,Checked-Out,2,False
830,1018,1028,1029,584,54,3,HCF42224898,HTK5928437988,1,SUP,Superior Room,120.33,120.33,10.23,0.0,9.63,110.7,130.56,Checked-Out,10,False
831,189,194,196,666,9,3,HCF35984932,HTK1517069236,2,STD,Standard Room,78.29,156.58,8.61,0.0,12.53,144.05,165.19,Checked-Out,5,True
832,326,357,358,2717,62,1,HCF43147758,HTK1126901403,1,STD,Standard Room,400.27,400.27,42.03,0.0,0.0,400.27,442.3,Checked-Out,31,True
833,110,120,124,1577,62,1,HCF18181761,HTK3903318919,4,DLX,Deluxe Room,1036.57,4146.28,435.36,0.0,0.0,4146.28,4581.64,Checked-Out,10,False
834,900,903,904,718,49,1,HCF00517599,HTK1898751360,1,DLX,Deluxe Room,316.76,316.76,31.68,0.0,0.0,316.76,348.44,Checked-Out,3,True
835,331,334,335,2580,11,1,HCF36732171,HTK9975851488,1,DLX,Deluxe Room,92.38,92.38,5.08,0.0,0.0,92.38,97.46,Cancelled,3,False
836,980,984,989,2939,56,3,HCF65545148,HTK1712577171,5,DLX,Deluxe Room,550.32,2751.6,233.89,0.0,220.13,2531.47,2985.49,Checked-Out,4,True
837,276,282,284,1262,19,1,HCF75983566,HTK0106681908,2,STD,Standard Room,150.45,300.9,15.04,0.0,0.0,300.9,315.94,In-House,6,False
838,857,897,902,610,30,1,HCF15069286,HTK0524157807,5,STD,Standard Room,353.92,1769.6,84.94,197.97,0.0,1769.6,2052.51,Checked-Out,40,False
839,45,48,53,2423,3,2,HCF09890241,HTK4582477210,5,EXC,Executive Room,140.04,700.2,45.51,0.0,0.0,700.2,745.71,Cancelled,3,False
840,965,976,978,305,43,3,HCF53980404,HTK4821924050,2,STD,Standard Room,267.72,535.44,37.48,0.0,42.84,492.6,572.92,Cancelled,11,False
841,1008,1009,1010,2873,25,1,HCF40118244,HTK5767751830,1,DLX,Deluxe Room,384.09,384.09,19.2,0.0,0.0,384.09,403.29,No-Show,1,False
842,1001,1009,1012,871,27,2,HCF79054496,HTK9505447066,3,STD,Standard Room,63.18,189.54,9.1,46.8,0.0,189.54,245.44,Checked-Out,8,True
843,97,105,106,1833,27,5,HCF13669974,HTK7845177210,1,FAM,Family Room,95.83,95.83,4.6,0.0,4.79,91.04,100.43,Cancelled,8,True
844,875,880,884,404,58,3,HCF26077877,HTK9680240562,4,DLX,Deluxe Room,364.13,1456.52,174.78,0.0,116.52,1340.0,1631.3,Checked-Out,5,True
845,844,860,864,2513,28,1,HCF81389608,HTK6810042977,4,DLX,Deluxe Room,575.53,2302.12,110.5,0.0,0.0,2302.12,2412.62,Checked-Out,16,True
846,510,511,512,2987,46,3,HCF05125129,HTK2872233514,1,DLX,Deluxe Room,694.0,694.0,48.58,0.0,55.52,638.48,742.58,Checked-Out,1,False
847,167,180,181,2268,9,3,HCF76322055,HTK2379855993,1,STD,Standard Room,119.85,119.85,6.59,103.69,9.59,110.26,230.13,Checked-Out,13,True
848,769,788,789,2869,25,3,HCF12241747,HTK5372570962,1,DLX,Deluxe Room,292.15,292.15,14.61,0.0,23.37,268.78,306.76,Checked-Out,19,True
849,57,74,77,184,17,1,HCF72427958,HTK8227655777,3,STD,Standard Room,193.57,580.71,29.04,0.0,0.0,580.71,609.75,In-House,17,False
850,16,28,30,1112,62,1,HCF43863705,HTK0690669564,2,STD,Standard Room,448.59,897.18,94.2,0.0,0.0,897.18,991.38,Cancelled,12,True
851,224,336,338,933,5,1,HCF36498614,HTK5371651489,2,DLX,Deluxe Room,70.38,140.76,9.15,0.0,0.0,140.76,149.91,Checked-Out,112,False
852,1013,1029,1030,2056,16,1,HCF41762266,HTK0012611915,1,EXC,Executive Room,148.06,148.06,10.36,0.0,0.0,148.06,158.42,Checked-Out,16,False
853,111,122,123,1084,16,1,HCF95251518,HTK4183981726,1,STD,Standard Room,170.08,170.08,11.91,43.22,0.0,170.08,225.21,Checked-Out,11,True
854,268,297,298,586,64,1,HCF71435316,HTK2467309089,1,STD,Standard Room,484.86,484.86,50.91,0.0,0.0,484.86,535.77,Checked-Out,29,False
855,417,421,425,2068,19,1,HCF06926112,HTK7661114961,4,STD,Standard Room,270.58,1082.32,54.12,0.0,0.0,1082.32,1136.44,Checked-Out,4,False
856,507,518,520,1667,52,1,HCF39178548,HTK1038022909,2,STD,Standard Room,53.69,107.38,10.2,0.0,0.0,107.38,117.58,Checked-Out,11,True
857,807,812,813,398,50,5,HCF55481226,HTK0614155827,1,SUT,Suite,246.92,246.92,23.46,0.0,12.35,234.57,270.38,Checked-Out,5,True
858,597,605,606,2674,1,1,HCF41243123,HTK2276911980,1,STD,Standard Room,75.47,75.47,4.91,0.0,0.0,75.47,80.38,Checked-Out,8,True
859,489,498,504,2584,43,4,HCF59426792,HTK8211226387,6,STD,Standard Room,231.74,1390.44,97.33,0.0,139.04,1251.4,1487.77,Checked-Out,9,True
860,991,996,997,804,24,1,HCF76437505,HTK6002837507,1,STD,Standard Room,402.71,402.71,20.14,49.9,0.0,402.71,472.75,Checked-Out,5,True
861,376,395,398,1794,21,1,HCF09963237,HTK0338393703,3,DLX,Deluxe Room,72.3,216.9,10.85,0.0,0.0,216.9,227.75,Checked-Out,19,False
862,114,133,135,521,33,2,HCF07375870,HTK1507708897,2,STD,Standard Room,84.54,169.08,15.22,0.0,0.0,169.08,184.3,Cancelled,19,False
863,1031,1096,1096,1524,3,5,HCF54523563,HTK5571931363,1,SUT,Suite,161.57,161.57,10.5,0.0,8.08,153.49,172.07,Checked-Out,65,False
864,373,385,389,773,51,5,HCF01284217,HTK1392012680,4,STD,Standard Room,695.7,2782.8,264.37,0.0,139.14,2643.66,3047.17,In-House,12,False
865,195,229,230,551,46,2,HCF16256623,HTK9429908309,1,STD,Standard Room,389.03,389.03,27.23,0.0,0.0,389.03,416.26,Checked-Out,34,True
866,855,860,862,762,60,1,HCF11179507,HTK7726161657,2,STD,Standard Room,200.44,400.88,42.09,0.0,0.0,400.88,442.97,Checked-Out,5,False
867,133,151,154,2755,25,5,HCF00206410,HTK7530752109,3,DLX,Deluxe Room,250.84,752.52,37.63,0.0,37.63,714.89,790.15,Checked-Out,18,False
868,255,267,269,76,40,2,HCF38564321,HTK9449465406,2,EXC,Executive Room,240.63,481.26,36.09,73.99,0.0,481.26,591.34,Checked-Out,12,True
869,89,102,103,1339,51,1,HCF14659103,HTK7301843093,1,SUP,Superior Room,504.11,504.11,47.89,0.0,0.0,504.11,552.0,Checked-Out,13,False
870,438,452,453,346,30,1,HCF59546626,HTK9007119090,1,STD,Standard Room,214.99,214.99,10.32,47.97,0.0,214.99,273.28,Checked-Out,14,True
871,2,2,3,714,28,1,HCF46256703,HTK3626452236,1,SUP,Superior Room,482.17,482.17,23.14,0.0,0.0,482.17,505.31,In-House,8,True
872,272,309,311,1580,4,2,HCF32436543,HTK3968474989,2,SUP,Superior Room,43.45,86.9,5.65,0.0,0.0,86.9,92.55,Checked-Out,37,False
873,843,869,870,890,31,2,HCF03897240,HTK3301258170,1,EXC,Executive Room,896.96,896.96,43.05,0.0,0.0,896.96,940.01,Checked-Out,26,False
874,578,588,590,591,58,1,HCF38608294,HTK2120215602,2,SUP,Superior Room,331.2,662.4,79.49,0.0,0.0,662.4,741.89,Checked-Out,10,True
875,445,449,453,2350,22,5,HCF07045817,HTK2406560855,4,DLX,Deluxe Room,82.36,329.44,16.47,0.0,16.47,312.97,345.91,Checked-Out,4,False
876,452,482,486,1360,56,1,HCF79675625,HTK8608730246,4,SUP,Superior Room,917.49,3669.96,311.95,0.0,0.0,3669.96,3981.91,Cancelled,30,False
877,374,378,379,1894,58,2,HCF56115457,HTK8648573296,1,STD,Standard Room,300.83,300.83,36.1,0.0,0.0,300.83,336.93,Checked-Out,4,True
878,307,319,322,1145,33,1,HCF80560094,HTK5966344384,3,STD,Standard Room,82.26,246.78,22.21,61.71,0.0,246.78,330.7,Checked-Out,12,True
879,256,262,264,1362,58,1,HCF71714952,HTK0620713085,2,DLX,Deluxe Room,336.96,673.92,80.87,0.0,0.0,673.92,754.79,Checked-Out,6,False
880,703,750,753,2207,4,2,HCF22049370,HTK3923137406,3,STD,Standard Room,44.57,133.71,8.69,21.42,0.0,133.71,163.82,Checked-Out,47,True
881,940,947,948,119,49,2,HCF81145566,HTK3601111957,1,STD,Standard Room,307.52,307.52,30.75,0.0,0.0,307.52,338.27,Checked-Out,7,True
882,239,251,254,2400,25,4,HCF70032350,HTK6680467475,3,EXC,Executive Room,301.22,903.66,45.18,0.0,90.37,813.29,948.84,Checked-Out,12,False
883,1048,1054,1058,2675,19,3,HCF14120231,HTK3378029724,4,DLX,Deluxe Room,240.34,961.36,48.07,17.62,76.91,884.45,1027.05,Checked-Out,6,True
884,976,979,981,87,31,4,HCF52026927,HTK5301406863,2,DLX,Deluxe Room,840.43,1680.86,80.68,0.0,168.09,1512.77,1761.54,Checked-Out,3,False
885,529,547,548,2222,27,4,HCF72565703,HTK9220425400,1,DLX,Deluxe Room,104.52,104.52,5.02,0.0,10.45,94.07,109.54,Checked-Out,18,True
886,431,435,441,840,43,2,HCF92409677,HTK7341124145,6,STD,Standard Room,200.76,1204.56,84.32,0.0,0.0,1204.56,1288.88,Checked-Out,4,True
887,636,638,644,620,25,3,HCF21181683,HTK1722789080,6,STD,Standard Room,246.71,1480.26,74.01,0.0,118.42,1361.84,1554.27,Checked-Out,2,True
888,595,601,605,1902,17,1,HCF11282665,HTK7027430337,4,DLX,Deluxe Room,380.76,1523.04,76.15,0.0,0.0,1523.04,1599.19,Checked-Out,6,False
889,333,342,343,1688,31,1,HCF47777593,HTK9956991641,1,STD,Standard Room,631.06,631.06,30.29,0.0,0.0,631.06,661.35,Checked-Out,9,False
890,962,1008,1010,2965,4,2,HCF23160086,HTK8134797162,2,STD,Standard Room,43.98,87.96,5.72,34.49,0.0,87.96,128.17,Checked-Out,46,False
891,292,300,302,698,51,1,HCF86682525,HTK0880272584,2,DLX,Deluxe Room,574.92,1149.84,109.23,0.0,0.0,1149.84,1259.07,Checked-Out,8,False
892,284,333,336,172,2,4,HCF35608501,HTK7794909056,3,STD,Standard Room,219.3,657.9,42.76,0.0,65.79,592.11,700.66,Checked-Out,49,False
893,220,225,228,1347,14,2,HCF66315190,HTK6943207948,3,STD,Standard Room,360.79,1082.37,75.77,0.0,0.0,1082.37,1158.14,Checked-Out,5,False
894,906,952,955,474,24,1,HCF38749579,HTK3404432532,3,DLX,Deluxe Room,1067.96,0.0,0.0,0.0,0.0,3203.88,0.0,Checked-Out,46,False
895,868,874,879,1310,27,4,HCF10605469,HTK6297743638,5,SUT,Suite,287.69,1438.45,69.05,0.0,143.84,1294.61,1507.5,Cancelled,6,False
896,386,387,389,1605,54,5,HCF84395094,HTK2535713996,2,STD,Standard Room,79.16,158.32,13.46,0.0,7.92,150.4,171.78,Checked-Out,1,True
897,598,608,611,2992,33,4,HCF86577274,HTK9336173682,3,STD,Standard Room,101.62,0.0,0.0,0.0,30.49,274.37,0.0,Checked-Out,10,False
898,1092,1095,1095,119,60,1,HCF22546298,HTK7427276103,3,DLX,Deluxe Room,324.56,973.68,102.24,0.0,0.0,973.68,1075.92,Checked-Out,3,True
899,174,188,190,257,53,4,HCF64749691,HTK6832928194,2,SUP,Superior Room,281.23,562.46,47.81,0.0,56.25,506.21,610.27,Checked-Out,14,True
900,344,364,365,875,22,2,HCF20016373,HTK4932977933,1,EXC,Executive Room,123.06,123.06,6.15,0.0,0.0,123.06,129.21,Checked-Out,20,True
901,835,841,842,2775,35,3,HCF29646315,HTK3313979951,1,STD,Standard Room,1024.9,1024.9,92.24,36.39,81.99,942.91,1153.53,Checked-Out,6,False
902,860,902,907,1724,40,2,HCF41377043,HTK1325868121,5,DLX,Deluxe Room,88.62,443.1,33.23,0.0,0.0,443.1,476.33,Checked-Out,42,True
903,1015,1022,1024,1170,62,1,HCF94121800,HTK4058197441,2,FAM,Family Room,728.63,1457.26,153.01,0.0,0.0,1457.26,1610.27,No-Show,7,False
904,781,791,793,591,24,2,HCF72922831,HTK0600399457,2,DLX,Deluxe Room,1036.43,2072.86,103.64,0.0,0.0,2072.86,2176.5,Checked-Out,10,True
905,360,370,371,790,50,1,HCF45720899,HTK5018966438,1,FAM,Family Room,182.0,182.0,17.29,0.0,0.0,182.0,199.29,Checked-Out,10,False
906,636,641,645,1124,20,1,HCF37994964,HTK0202786415,4,EXC,Executive Room,1128.64,4514.56,225.73,0.0,0.0,4514.56,4740.29,Checked-Out,5,False
907,466,478,481,1026,60,2,HCF85621936,HTK7093812566,3,STD,Standard Room,333.46,1000.38,105.04,0.0,0.0,1000.38,1105.42,Checked-Out,12,True
908,786,796,800,579,61,1,HCF78620631,HTK3595200512,4,STD,Standard Room,81.2,324.8,34.1,0.0,0.0,324.8,358.9,Checked-Out,10,True
909,139,159,165,473,62,2,HCF00765249,HTK7522094899,6,STD,Standard Room,751.41,4508.46,473.39,0.0,0.0,4508.46,4981.85,Checked-Out,20,True
910,153,167,168,2963,21,2,HCF81930159,HTK1882113148,31,STD,Standard Room,82.55,2559.05,127.95,0.0,0.0,82.55,2687.0,Checked-Out,14,False
911,311,383,386,2,14,1,HCF22225205,HTK7817997096,3,STD,Standard Room,332.47,997.41,69.82,38.57,0.0,997.41,1105.8,Checked-Out,72,True
912,283,294,296,2212,6,1,HCF16463526,HTK5191162906,2,SUP,Superior Room,776.63,1553.26,85.43,180.65,0.0,1553.26,1819.34,Checked-Out,11,False
913,788,800,801,1569,52,1,HCF29198248,HTK9151591175,1,SUT,Suite,137.44,137.44,13.06,10.1,0.0,137.44,160.6,Cancelled,12,True
914,635,645,647,506,23,2,HCF16612036,HTK8276760703,2,DLX,Deluxe Room,1021.2,2042.4,102.12,0.0,0.0,2042.4,2144.52,Checked-Out,10,False
915,689,692,693,2732,27,2,HCF20408946,HTK5545470733,1,EXC,Executive Room,213.75,213.75,10.26,0.0,0.0,213.75,224.01,Checked-Out,3,True
916,709,712,713,717,56,2,HCF48804469,HTK2637869032,1,STD,Standard Room,860.1,860.1,73.11,0.0,0.0,860.1,933.21,Checked-Out,3,True
917,647,662,663,2436,3,4,HCF89651548,HTK1540780860,1,STD,Standard Room,50.97,50.97,3.31,63.48,5.1,45.87,117.76,Checked-Out,15,False
918,636,662,663,789,1,2,HCF15735490,HTK9965915910,1,SUP,Superior Room,94.49,94.49,6.14,0.0,0.0,94.49,100.63,Checked-Out,26,True
919,256,275,280,1697,60,2,HCF50715262,HTK7958470054,5,FAM,Family Room,322.8,1614.0,169.47,0.0,0.0,1614.0,1783.47,Checked-Out,19,True
920,281,297,300,81,53,1,HCF23922713,HTK1044203531,3,DLX,Deluxe Room,313.59,940.77,79.97,0.0,0.0,940.77,1020.74,Checked-Out,16,False
921,77,91,92,1514,41,1,HCF82440738,HTK8297564091,1,DLX,Deluxe Room,90.14,90.14,6.31,0.0,0.0,90.14,96.45,Cancelled,14,True
922,625,629,631,1195,46,5,HCF55886248,HTK9450241233,2,STD,Standard Room,322.36,644.72,45.13,0.0,32.24,612.48,689.85,Checked-Out,4,True
923,84,91,97,1040,30,1,HCF58298845,HTK7861001013,6,STD,Standard Room,257.97,1547.82,74.3,0.0,0.0,1547.82,1622.12,Checked-Out,7,True
924,357,360,364,1135,6,3,HCF79486844,HTK0912531232,4,DLX,Deluxe Room,556.4,2225.6,122.41,34.99,178.05,2047.55,2383.0,Checked-Out,3,False
925,627,631,636,2286,14,4,HCF05614324,HTK8824917196,5,DLX,Deluxe Room,282.09,1410.45,98.73,0.0,141.04,1269.41,1509.18,Checked-Out,4,True
926,857,861,863,1037,51,1,HCF23402482,HTK3312260547,2,STD,Standard Room,341.8,683.6,64.94,28.88,0.0,683.6,777.42,Checked-Out,4,True
927,964,969,971,1891,60,3,HCF46686154,HTK9729790357,2,SUT,Suite,898.74,1797.48,188.74,0.0,143.8,1653.68,1986.22,Checked-Out,5,False
928,193,220,221,2852,57,1,HCF88922658,HTK3673374794,1,DLX,Deluxe Room,347.18,347.18,41.66,0.0,0.0,347.18,388.84,Checked-Out,27,False
929,564,599,601,1447,22,4,HCF08567855,HTK4137974019,2,SUP,Superior Room,70.7,141.4,7.07,0.0,14.14,127.26,148.47,Checked-Out,35,True
930,523,539,545,282,27,5,HCF11962158,HTK8394946629,6,SUP,Superior Room,139.66,837.96,40.22,0.0,41.9,796.06,878.18,Checked-Out,16,False
931,10,10,11,1665,14,5,HCF74068207,HTK0341280014,1,SUP,Superior Room,282.98,282.98,19.81,110.59,14.15,268.83,413.38,Checked-Out,11,True
932,927,929,932,2721,31,1,HCF90027887,HTK1683786130,3,EXC,Executive Room,849.21,2547.63,122.29,0.0,0.0,2547.63,2669.92,Checked-Out,2,False
933,1002,1006,1007,1213,27,2,HCF24675244,HTK4444181431,1,STD,Standard Room,74.07,74.07,3.56,0.0,0.0,74.07,77.63,Checked-Out,4,False
934,1081,1095,1095,2465,43,1,HCF81234180,HTK5206922345,2,STD,Standard Room,266.66,533.32,37.33,0.0,0.0,533.32,570.65,Checked-Out,14,True
935,571,574,578,1826,20,1,HCF43501767,HTK7716891157,4,STD,Standard Room,500.98,2003.92,100.2,0.0,0.0,2003.92,2104.12,Checked-Out,3,False
936,184,193,195,1843,16,3,HCF64386326,HTK0621462971,2,SUT,Suite,362.42,724.84,50.74,0.0,57.99,666.85,775.58,Checked-Out,9,False
937,152,163,167,1325,37,4,HCF72985439,HTK0897586836,4,STD,Standard Room,99.47,397.88,35.81,11.64,39.79,358.09,445.33,Checked-Out,11,False
